Season,Task,Details,Complete,Completion Date,Notes
Every month,Test smoke alarms,Use each alarm's test button and manufacturer instructions.,,,
Every month,Test carbon monoxide alarms,Confirm the expected sound and status indicators.,,,
Every month,Inspect the HVAC filter,Clean or replace it when dirty using the permitted size and rating.,,,
Every month,Look for water leaks,"Check visible plumbing, appliances, ceilings, and equipment areas.",,,
Every month,Review urgent and overdue work,"Prioritize safety, active water, electrical, gas, and structural concerns.",,,
Spring,Schedule cooling-system service,Book qualified service before sustained hot weather.,,,
Spring,Test the sump pump and backup,Observe at least two complete pumping cycles.,,,
Spring,Inspect roof drainage,"Check gutters, downspouts, grading, and signs of winter damage.",,,
Spring,Check exterior plumbing,Look for freeze damage at hose bibs and irrigation components.,,,
Spring,"Inspect decks, steps, and railings","Escalate movement, rot, corrosion, or structural concerns.",,,
Spring,Check window and door screens,Repair damage before peak ventilation and insect season.,,,
Summer,Check cooling performance and condensate drainage,"Note weak airflow, short cycling, water, or unusual sounds.",,,
Summer,Clear the outdoor HVAC unit,Maintain the clearance required by its manufacturer.,,,
Summer,Clean bathroom exhaust fan grilles,Disconnect power and clean only user-serviceable parts.,,,
Summer,Inspect dryer exhaust performance,"Act on long drying times, excess heat, or weak exterior airflow.",,,
Summer,Review refrigerator maintenance,Check whether the model requires user-cleanable coil care.,,,
Summer,Review storm or wildfire preparation,Adapt the task to local seasonal risks and official guidance.,,,
Fall,Schedule heating-system service,Book qualified service before sustained cold weather.,,,
Fall,Inspect and clean gutters,Use ground-based methods or a professional when ladder access is unsafe.,,,
Fall,Prepare exterior plumbing for freezes,Follow local and equipment-specific winterization guidance.,,,
Fall,Inspect weather stripping and exterior seals,"Look for gaps, deterioration, and signs of water entry.",,,
Fall,Check smoke and CO alarm ages,Record manufacture dates and replace expired units.,,,
Fall,Review snow and ice equipment,Service seasonal equipment before it is urgently needed.,,,
Winter,Confirm the main water shutoff is accessible,Make sure responsible occupants know its location.,,,
Winter,Monitor vulnerable pipes and spaces,Respond to freeze risk using qualified local guidance.,,,
Winter,Keep combustion and HVAC openings clear,Follow equipment instructions after snow or drifting.,,,
Winter,Watch for roof and drainage trouble,"Use a professional for ice, height, or active leakage risks.",,,
Winter,Review annual repair and maintenance costs,"Connect totals to the work, items, and invoices behind them.",,,
Winter,Update the home handoff record,"Refresh important contacts, documents, warranties, and operating notes.",,,
